spotify_id,valence,danceability,energy,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,tempo,key,mode,instrumentalness,liveness,speechiness,acousticness,loudness
1UmPLknJCFdqCf1KM8tf7p,0.8909999999999999,0.66,0.536,3.0,2.513333333333333,3.3233333333333333,3.433333333333333,112.512,9.0,1.0,0.0,0.245,0.0317,0.45,-12.624
1sJXMMUdQnbUgeNPIU4DJh,0.614,0.674,0.55,5.0,5.295999999999999,3.378,4.874,78.94800000000002,9.0,1.0,1.93e-06,0.102,0.116,0.583,-14.459
5LzGLJafLOuAKaG6EIMx9i,0.448,0.713,0.63,5.0,5.264,4.102,4.948,149.018,4.0,1.0,0.0019,0.0697,0.0797,0.121,-13.324000000000002
24YmWQgunJGAU8El3ndkyn,0.268,0.294,0.489,3.0,0.6978571428571428,0.4589285714285714,0.5782142857142858,152.115,9.0,1.0,0.348,0.0537,0.0399,0.416,-14.578
6TXBbGLm89krX2OzBt5eMo,0.727,0.563,0.7290000000000001,10.0,5.285384615384615,4.445897435897436,5.522051282051282,110.82,5.0,1.0,0.0045,0.13,0.0329,0.206,-8.51
2QdadVGqkAGPGJMnJWHIcR,0.527,0.264,0.8009999999999999,4.0,3.682500000000001,3.6925,3.905,98.726,9.0,0.0,0.00166,0.133,0.0649,0.00117,-13.184
63vGwrzfRPfxBLDqmeLNY6,0.465,0.319,0.9,7.0,4.793548387096775,4.146129032258065,4.724516129032258,85.682,7.0,1.0,4.72e-05,0.7120000000000001,0.176,0.0863,-5.9270000000000005
5tG5FAkjq6hcJeNDUwqBYi,0.649,0.445,0.695,2.0,2.5733333333333333,2.0166666666666666,2.276666666666667,125.975,9.0,0.0,0.0,0.44,0.0502,0.0424,-7.178
40rZKDd8QSBFmaJhRseFLq,0.847,0.637,0.922,4.0,5.784999999999999,3.7825,4.6475,97.854,9.0,1.0,3.67e-05,0.0646,0.0649,0.383,-6.843
38dYh2pToiZPEKGVErVISk,0.777,0.382,0.642,10.0,5.49081081081081,3.958783783783783,5.12945945945946,63.00899999999999,2.0,1.0,0.00947,0.386,0.0395,0.76,-7.659
0YiYiDn1ekRGXTQmGmkeqi,0.968,0.821,0.49,11.0,6.428978102189782,4.048978102189781,5.994124087591241,129.295,8.0,1.0,0.0,0.103,0.0578,0.546,-11.951
